textOriginal,text_clean,label,split
"Yang menang merayakan, yang kalah nangis di pojokan😂","Yang menang merayakan, yang kalah nangis di pojokan😂",0,train
"El badut,, sangking kesel nya lord badut paduka kita  yg satu ini😜👆","El badut,, sangking kesel nya lord badut paduka kita yg satu ini😜👆",0,train
MODARRR PPQ LOLL 😜👆,MODARRR PPQ LOLL 😜👆,0,train
"Santai ketua rrq akan bantai2 di PLAYOFF, RINZ itu SANG MIDLANER KELAS DUNIA","Santai ketua rrq akan bantai2 di PLAYOFF, RINZ itu SANG MIDLANER KELAS DUNIA",0,train
Ini yang gw penasaran di fb viral bang bkent nton live mpl😂,Ini yang gw penasaran di fb viral bang bkent nton live mpl😂,0,train
"dewa : kasih aja grangernya, biar ditutor lunox sama Octa 😂","dewa : kasih aja grangernya, biar ditutor lunox sama Octa 😂",0,train
Top Up Terbaik Se indonesia Hanya Di https://ourastore.com,Top Up Terbaik Se indonesia Hanya Di [URL],0,train
11;40 Ini sih harus viral!🤎𝐏𝐑𝐎𝐁𝐄𝐓 𝟖𝟓𝟓🤎,[NUM];[NUM] Ini sih harus viral!🤎PROBET [NUM]🤎,1,train
Suru junes pake haya pas ketemu onic,Suru junes pake haya pas ketemu onic,0,train
"𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕bikin lupa masalah, hiburan yang hakiki!","DORA77bikin lupa masalah, hiburan yang hakiki!",1,train
Turun sisen gak ketua,Turun sisen gak ketua,0,train
"RRQ kenapa lepas Skylar??
Nangis kan 😂😂wkwk  tolol",RRQ kenapa lepas Skylar?? Nangis kan 😂😂wkwk tolol,0,train
Lokal ya gini main nya 😂,Lokal ya gini main nya 😂,0,train
Kok ga upacara kau jang enam,Kok ga upacara kau jang enam,0,train
Susah kalo kata gw.,Susah kalo kata gw.,0,train
Temukan kemungkinan yang dapat dibuka oleh 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕.,Temukan kemungkinan yang dapat dibuka oleh DORA77.,1,train
tumben menang..,tumben menang..,0,train
