bab,tabel_referensi,deskripsi,nilai,satuan,sumber_file
4.1,Tabel 4.1,GPU,NVIDIA GeForce RTX 3090,-,results/vast/hardware.json
4.1,Tabel 4.1,VRAM,24,GB,results/vast/hardware.json
4.1,Tabel 4.1,Versi CUDA,13.0,-,results/vast/hardware.json
4.1,Tabel 4.1,Versi PyTorch,2.12.0+cu130,-,results/vast/hardware.json
4.1,Tabel 4.1,Versi Transformers,5.14.1,-,results/vast/hardware.json
4.1,Tabel 4.1,Penyedia GPU,Vast.ai (on-demand),-,results/vast/hardware.json
4.1,Tabel 4.2,Jumlah baris - Train,6588,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Kelas 0 - Train,5391,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Kelas 1 - Train,1197,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Persentase kelas 1 - Train,18.17,%,dataset/processed/metadata.json
4.1,Tabel 4.2,Jumlah baris - Validation,1402,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Kelas 0 - Validation,1145,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Kelas 1 - Validation,257,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Persentase kelas 1 - Validation,18.33,%,dataset/processed/metadata.json
4.1,Tabel 4.2,Jumlah baris - Test,1405,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Kelas 0 - Test,1149,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Kelas 1 - Test,256,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Persentase kelas 1 - Test,18.22,%,dataset/processed/metadata.json
4.1,Tabel 4.2,Jumlah baris - Total,9395,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Kelas 0 - Total,7685,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Kelas 1 - Total,1710,baris,dataset/processed/metadata.json
4.1,Tabel 4.2,Persentase kelas 1 - Total,18.20,%,dataset/processed/metadata.json
4.1,Tabel 4.2,Rasio ketidakseimbangan kelas,4.5,":1",dataset/processed/metadata.json
4.1,Tabel 4.3,Class weight kelas 0,0.6110,-,dataset/processed/metadata.json
4.1,Tabel 4.3,Class weight kelas 1,2.7519,-,dataset/processed/metadata.json
4.1,teks,Panjang token maksimum,128,token,dataset/processed/metadata.json
4.1,teks,Cakupan max_length terhadap panjang komentar,>=99.9,%,dataset/processed/metadata.json
4.2,Tabel 4.4,Data awal (mentah),14237,baris,dataset/processed/metadata.json
4.2,Tabel 4.4,Setelah pembuangan baris kosong,14227,baris,dataset/processed/metadata.json
4.2,Tabel 4.4,Perubahan - pembuangan baris kosong,-10,baris,dataset/processed/metadata.json
4.2,Tabel 4.4,Setelah deduplikasi (NFKC-exact),9412,baris,dataset/processed/metadata.json
4.2,Tabel 4.4,Perubahan - deduplikasi,-4815,baris,dataset/processed/metadata.json
4.2,Tabel 4.4,Setelah guard anti-leakage,9395,baris,dataset/processed/metadata.json
4.2,Tabel 4.4,Perubahan - guard anti-leakage,-17,baris,dataset/processed/metadata.json
4.2,teks,Proporsi reduksi tahap deduplikasi,34,% (approx),dataset/processed/metadata.json
4.2,Tabel 4.5,Tingkat UNK sebelum NFKC (kelas judi),90.5,%,EDA_REPORT_BAGIAN2.md
4.2,Tabel 4.5,Tingkat UNK setelah NFKC (kelas judi),53.6,%,EDA_REPORT_BAGIAN2.md
4.2,teks,Jumlah kelompok duplikat berkonflik label,3,kelompok,dataset/processed/metadata.json
4.2,teks,Jumlah baris berkonflik label,32,baris,dataset/processed/metadata.json
4.3.1,teks,Total konfigurasi RM-a dieksplorasi,26,konfigurasi,tuning_grids/RMA_TUNING_GRID.md
4.3.1,teks,Titik grid kombinatorial RM-a,24,konfigurasi,tuning_grids/RMA_TUNING_GRID.md
