source,run_id,scenario,model_name,batch_id,lr,epochs,batch,warmup_ratio,weight_decay,micro_batch,seed,micro_batch_eff,grad_accum,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,train_time_s,peak_mem_mb,trainable_params,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best,test_accuracy,test_f1_macro,test_f1_class1,test_precision_class1,test_recall_class1
vast,1,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,2e-05,5,16,0.1,0.01,32,42,16,1,0.974873,0.985021,0.977057,0.972724,0.958904,5,143.2,2309.1,109485314,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. Baseline kanonik IndoNLU/Devlin -- titik acuan seluruh grid.",False,2026-07-25 08:02:31,,,,,,,
vast,2,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,2e-05,3,16,0.1,0.01,32,42,16,1,0.977266,0.986448,0.979461,0.975106,0.962818,3,85.3,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Apakah lr kanonik cukup dengan anggaran lebih pendek? Cek underfit.",False,2026-07-25 08:04:01,0.2393,False,,,,,
vast,3,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,2e-05,8,16,0.1,0.01,32,42,16,1,0.976321,0.985735,0.973506,0.979196,0.96139,6,219.3,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=2e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. Anggaran terbesar pada lr kanonik -- masih naik atau mulai overfit?",True,2026-07-25 08:07:45,-0.0945,True,,,,,
vast,4,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,1e-05,5,16,0.1,0.01,32,42,16,1,0.978495,0.987161,0.979955,0.977051,0.964844,5,142.9,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr konservatif, anggaran standar: kestabilan (Sun 2019) vs konvergensi lambat.",False,2026-07-25 08:10:10,0.1229,True,,,,,
vast,5,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,1e-05,3,16,0.1,0.01,32,42,16,1,0.96808,0.980742,0.964641,0.971612,0.947977,3,84.5,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Kandidat underfit di batch 16 -- batas bawah yang berguna.",False,2026-07-25 08:11:41,-1.0415,False,,,,,
vast,6,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,1e-05,8,16,0.1,0.01,32,42,16,1,0.977403,0.986448,0.976687,0.978123,0.963107,4,225.3,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=1e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr kecil dikompensasi anggaran terbesar -- cukupkah bila diberi waktu?",True,2026-07-25 08:15:29,-0.1092,True,,,,,
vast,7,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,3e-05,5,16,0.1,0.01,32,42,16,1,0.971669,0.982882,0.967532,0.97594,0.953846,3,138.9,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr tengah GLUE, anggaran standar; kandidat kuat bila 2e-5 terlalu lambat.",True,2026-07-25 08:17:50,-0.6826,False,,,,,
vast,8,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,3e-05,3,16,0.1,0.01,32,42,16,1,0.970356,0.982168,0.968261,0.972486,0.951644,2,82.8,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Konvergensi cepat menghemat waktu tanpa rugi F1?",True,2026-07-25 08:19:15,-0.8139,False,,,,,
vast,9,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,3e-05,8,16,0.1,0.01,32,42,16,1,0.971063,0.982882,0.976997,0.965378,0.952569,7,222.4,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=3e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. lr tengah + anggaran maksimum -- titik rawan overfit.",True,2026-07-25 08:23:01,-0.7432,False,,,,,
vast,10,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,5e-05,5,16,0.1,0.01,32,42,16,1,0.974719,0.985021,0.979924,0.969706,0.95858,5,138.2,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=5 / batch=16; warmup 0.1 & wd 0.01 dikunci. Batas atas GLUE -- uji ambang catastrophic forgetting.",False,2026-07-25 08:25:21,-0.3776,False,,,,,
vast,11,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,5e-05,3,16,0.1,0.01,32,42,16,1,0.967045,0.980029,0.96164,0.972684,0.94636,3,84.1,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=3 / batch=16; warmup 0.1 & wd 0.01 dikunci. Skenario 'cepat & panas' -- paling hemat waktu bila berhasil.",False,2026-07-25 08:26:49,-1.145,False,,,,,
vast,12,rma,indobenchmark/indobert-base-p2,rma_csv_20260725_075641,5e-05,8,16,0.1,0.01,32,42,16,1,0.976178,0.985735,0.976178,0.976178,0.961089,3,223.8,2320.5,109485314,"Grid kombinatorial RM-a, sel lr=5e-05 / epochs=8 / batch=16; warmup 0.1 & wd 0.01 dikunci. Paling berisiko merusak bobot pra-latih -- batas atas.",True,2026-07-25 08:30:36,-0.2317,False,,,,,
