source,run_id,scenario,model_name,batch_id,head_arch,hidden_dim,epochs,lr,dropout,weight_decay,batch,seed,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,head_train_time_s,extract_time_s,train_time_s,trainable_params,peak_mem_mb,infer_latency_ms,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best,test_accuracy,test_f1_macro,test_f1_class1,test_precision_class1,test_recall_class1
vast,1,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093046,linear,256,5,0.0002,0.1,0.01,32,42,0.912507,0.944365,0.891506,0.93878,0.859712,5,1.15,7.9,9.05,1538,40.6,0.0378,"Tahap 1 RM-b, baseline kanonik RMB_DEFAULT (head_arch=linear) -- kontrol wajib re-tuning dari nol, titik acuan seluruh grid.",False,2026-07-25 09:31:06,,,,,,,
vast,2,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093046,mlp,128,5,0.0002,0.1,0.01,32,42,0.936838,0.96077,0.922382,0.95335,0.897959,4,1.86,7.9,9.76,98690,43.4,0.1271,"Tahap 1 RM-b, head_arch=mlp hidden_dim=128 -- kapasitas kecil, cukupkah sedikit non-linearitas tanpa menambah param berarti?",True,2026-07-25 09:31:09,2.4331,False,,,,,
vast,3,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093046,mlp,256,5,0.0002,0.1,0.01,32,42,0.940029,0.96291,0.927013,0.95466,0.902985,5,1.89,7.9,9.79,197378,46.2,0.1381,"Tahap 1 RM-b, head_arch=mlp hidden_dim=256 -- kapasitas default RMB_DEFAULT, juga yang dipakai RM-c nanti bila MLP menang.",False,2026-07-25 09:31:11,0.3191,False,,,,,
vast,4,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093046,mlp,512,5,0.0002,0.1,0.01,32,42,0.948705,0.96933,0.949386,0.948028,0.916179,5,1.58,7.9,9.48,394754,52.9,0.074,"Tahap 1 RM-b, head_arch=mlp hidden_dim=512 -- kapasitas besar, mendekati batas wajar sebelum jumlah param tumbuh signifikan.",False,2026-07-25 09:31:13,0.8676,False,,,,,
vast,5,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093213,linear,256,5,0.0002,0.1,0.01,32,42,0.912507,0.944365,0.891506,0.93878,0.859712,5,1.31,7.9,9.21,1538,40.6,0.0368,"Tahap 1 RM-b, baseline kanonik RMB_DEFAULT (head_arch=linear) -- kontrol wajib re-tuning dari nol, titik acuan seluruh grid.",False,2026-07-25 09:32:24,-3.6198,False,,,,,
vast,6,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093213,mlp,128,5,0.0002,0.1,0.01,32,42,0.936838,0.96077,0.922382,0.95335,0.897959,4,1.87,7.9,9.77,98690,43.4,0.087,"Tahap 1 RM-b, head_arch=mlp hidden_dim=128 -- kapasitas kecil, cukupkah sedikit non-linearitas tanpa menambah param berarti?",True,2026-07-25 09:32:27,-1.1867,False,,,,,
vast,7,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093213,mlp,256,5,0.0002,0.1,0.01,32,42,0.940029,0.96291,0.927013,0.95466,0.902985,5,1.55,7.9,9.45,197378,46.2,0.1295,"Tahap 1 RM-b, head_arch=mlp hidden_dim=256 -- kapasitas default RMB_DEFAULT, juga yang dipakai RM-c nanti bila MLP menang.",False,2026-07-25 09:32:28,-0.8676,False,,,,,
vast,8,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093213,mlp,512,5,0.0002,0.1,0.01,32,42,0.948705,0.96933,0.949386,0.948028,0.916179,5,1.92,7.9,9.82,394754,52.7,0.0779,"Tahap 1 RM-b, head_arch=mlp hidden_dim=512 -- kapasitas besar, mendekati batas wajar sebelum jumlah param tumbuh signifikan.",False,2026-07-25 09:32:30,0.0,True,,,,,
vast,9,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093651,mlp,768,5,0.0002,0.1,0.01,32,42,0.951091,0.970756,0.951775,0.95041,0.920078,5,1.7,7.9,9.6,592130,57.7,0.0835,"Perluasan Tahap 1 RM-b -- hidden_dim=512 menang di tepi rentang yang diuji (128/256/512) dan kenaikan 256->512 (+0,87pp) lebih besar dari 128->256 (+0,32pp), belum melandai. Uji apakah tren masih naik di kapasitas lebih besar sebelum mengunci hidden_dim untuk Tahap 2.",False,2026-07-25 09:37:02,0.2386,False,,,,,
vast,10,rmb,indobenchmark/indobert-base-p2,rmb_csv_20260725_093651,mlp,1024,5,0.0002,0.1,0.01,32,42,0.954323,0.972896,0.958571,0.950212,0.925197,4,1.51,7.9,9.41,789506,63.5,0.1356,"Perluasan Tahap 1 RM-b -- probe kapasitas lebih besar lagi dari 768, mencari titik di mana tren kenaikan val_f1_macro mulai melandai/overfit sebelum mengunci hidden_dim untuk Tahap 2.",True,2026-07-25 09:37:04,0.3232,False,,,,,
