run_id,scenario,batch_id,model_name,head_arch,hidden_dim,epochs,lr,dropout,weight_decay,batch,seed,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,head_train_time_s,extract_time_s,train_time_s,trainable_params,peak_mem_mb,infer_latency_ms,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best
1,rmb,rmb_tuning_grid,indobenchmark/indobert-base-p2,linear,256,5,0.0002,0.1,0.01,32,42,0.912507,0.944365,0.891506,0.93878,0.859712,5,0.61,7.52,8.13,1538,41.8,0.0169,"Tahap 1 RM-b, baseline kanonik RMB_DEFAULT (head_arch=linear) -- kontrol wajib re-tuning dari nol, titik acuan seluruh grid.",False,2026-09-14 17:37:06,,
2,rmb,rmb_tuning_grid,indobenchmark/indobert-base-p2,mlp,128,5,0.0002,0.1,0.01,32,42,0.936838,0.96077,0.922382,0.95335,0.897959,4,0.75,7.52,8.27,98690,44.5,0.0339,"Tahap 1 RM-b, head_arch=mlp hidden_dim=128 -- kapasitas kecil, cukupkah sedikit non-linearitas tanpa menambah param berarti?",True,2026-09-14 17:37:08,2.4331,False
3,rmb,rmb_tuning_grid,indobenchmark/indobert-base-p2,mlp,256,5,0.0002,0.1,0.01,32,42,0.940029,0.96291,0.927013,0.95466,0.902985,5,0.75,7.52,8.27,197378,48.3,0.034,"Tahap 1 RM-b, head_arch=mlp hidden_dim=256 -- kapasitas default RMB_DEFAULT, juga yang dipakai RM-c nanti bila MLP menang.",False,2026-09-14 17:37:09,0.3191,False
4,rmb,rmb_tuning_grid,indobenchmark/indobert-base-p2,mlp,512,5,0.0002,0.1,0.01,32,42,0.948705,0.96933,0.949386,0.948028,0.916179,5,0.74,7.52,8.26,394754,54.1,0.0321,"Tahap 1 RM-b, head_arch=mlp hidden_dim=512 -- kapasitas besar, mendekati batas wajar sebelum jumlah param tumbuh signifikan.",False,2026-09-14 17:37:10,0.8676,False
5,rmb,rmb_tuning_grid_stage1b,indobenchmark/indobert-base-p2,mlp,768,5,0.0002,0.1,0.01,32,42,0.951091,0.970756,0.951775,0.95041,0.920078,5,0.75,7.52,8.27,592130,60.2,0.0675,"Perluasan Tahap 1 RM-b -- hidden_dim=512 menang di tepi rentang yang diuji (128/256/512) dan kenaikan 256->512 (+0,87pp) lebih besar dari 128->256 (+0,32pp), belum melandai. Uji apakah tren masih naik di kapasitas lebih besar sebelum mengunci hidden_dim untuk Tahap 2.",False,2026-09-14 17:37:11,0.2386,False
6,rmb,rmb_tuning_grid_stage1b,indobenchmark/indobert-base-p2,mlp,1024,5,0.0002,0.1,0.01,32,42,0.954323,0.972896,0.958571,0.950212,0.925197,4,0.75,7.52,8.27,789506,64.8,0.0338,"Perluasan Tahap 1 RM-b -- probe kapasitas lebih besar lagi dari 768, mencari titik di mana tren kenaikan val_f1_macro mulai melandai/overfit sebelum mengunci hidden_dim untuk Tahap 2.",True,2026-09-14 17:37:12,0.3232,False
7,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,5,0.0001,0.1,0.01,32,42,0.941266,0.963623,0.92769,0.956605,0.905028,5,0.75,7.52,8.27,789506,64.8,0.0339,"Tahap 2 RM-b (hidden_dim*=1024 dari Tahap 1), lr=1e-4 epochs=5 -- lr konservatif (setengah default), anggaran standar -- cek underfit.",False,2026-09-14 17:37:13,-1.3057,False
8,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,10,0.0001,0.1,0.01,32,42,0.956127,0.973609,0.954095,0.958192,0.928433,10,1.55,7.52,9.07,789506,64.8,0.0339,"Tahap 2 RM-b, lr=1e-4 epochs=10 -- lr konservatif + anggaran 2x -- beri waktu ekstra untuk konvergen.",False,2026-09-14 17:37:15,0.1804,False
9,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,20,0.0001,0.1,0.01,32,42,0.961177,0.977175,0.970084,0.952832,0.936255,18,3.03,7.52,10.55,789506,64.8,0.0337,"Tahap 2 RM-b, lr=1e-4 epochs=20 -- lr konservatif + anggaran besar -- batas atas kompensasi lr kecil.",True,2026-09-14 17:37:18,0.505,False
10,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,30,0.0001,0.1,0.01,32,42,0.962794,0.977889,0.96638,0.959304,0.939096,23,4.58,7.52,12.1,789506,64.8,0.0337,"Tahap 2 RM-b, lr=1e-4 epochs=30 -- lr konservatif + anggaran maksimum -- masih naik atau sudah plateau di 20?",True,2026-09-14 17:37:23,0.1617,False
11,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,10,0.0002,0.1,0.01,32,42,0.961769,0.977175,0.963178,0.960376,0.9375,9,1.55,7.52,9.07,789506,64.8,0.0338,"Tahap 2 RM-b, lr=2e-4 (default) epochs=10 -- anggaran 2x dari Tahap 1 run #10 (epochs=5, val_f1_macro=0,954323) -- apakah val F1 masih naik setelah epoch 5?",True,2026-09-14 17:37:25,-0.1025,True
12,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,20,0.0002,0.1,0.01,32,42,0.962908,0.977889,0.965037,0.960813,0.939335,15,3.04,7.52,10.56,789506,64.8,0.0335,"Tahap 2 RM-b, lr=2e-4 (default) epochs=20 -- anggaran besar -- titik potensial mulai overfit pada head 1024 (sudah muncul sinyal overfit di epochs=5 saat Tahap 1).",True,2026-09-14 17:37:28,0.0114,True
13,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,30,0.0002,0.1,0.01,32,42,0.963716,0.978602,0.971099,0.956723,0.940476,22,4.54,7.52,12.06,789506,64.8,0.0338,"Tahap 2 RM-b, lr=2e-4 (default) epochs=30 -- anggaran maksimum pada lr kanonik -- batas atas eksplorasi epoch.",True,2026-09-14 17:37:33,0.0808,True
14,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,5,0.0005,0.1,0.01,32,42,0.957865,0.975036,0.962885,0.95303,0.930966,4,0.76,7.52,8.28,789506,64.8,0.0335,"Tahap 2 RM-b, lr=5e-4 epochs=5 -- lr agresif (2,5x default), anggaran standar -- konvergensi lebih cepat tanpa rugi F1?",True,2026-09-14 17:37:34,-0.5851,False
15,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,10,0.0005,0.1,0.01,32,42,0.961297,0.977175,0.968642,0.95434,0.936508,6,1.51,7.52,9.03,789506,64.8,0.0336,"Tahap 2 RM-b, lr=5e-4 epochs=10 -- lr agresif + anggaran 2x -- rawan overshoot/osilasi loss, cek kestabilan.",True,2026-09-14 17:37:36,-0.2419,False
16,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,20,0.0005,0.1,0.01,32,42,0.964049,0.978602,0.966911,0.961249,0.941176,12,3.04,7.52,10.56,789506,64.8,0.0341,"Tahap 2 RM-b, lr=5e-4 epochs=20 -- lr agresif + anggaran besar -- risiko overfit head paling tinggi di grid (head 1024 sudah rentan sejak Tahap 1).",True,2026-09-14 17:37:39,0.0333,True
17,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,30,0.0005,0.1,0.01,32,42,0.964049,0.978602,0.966911,0.961249,0.941176,12,4.57,7.52,12.09,789506,64.8,0.0338,"Tahap 2 RM-b, lr=5e-4 epochs=30 -- lr agresif + anggaran maksimum -- sudut grid paling agresif pada lr sedang.",True,2026-09-14 17:37:44,0.0,True
18,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,5,0.001,0.1,0.01,32,42,0.959502,0.975749,0.959502,0.959502,0.933852,5,0.81,7.52,8.33,789506,64.8,0.0333,"Tahap 2 RM-b, lr=1e-3 epochs=5 -- lr sangat tinggi (5x default), anggaran minim -- skenario 'cepat & panas', hemat waktu bila berhasil.",False,2026-09-14 17:37:45,-0.4547,False
19,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,10,0.001,0.1,0.01,32,42,0.96498,0.979315,0.971606,0.958668,0.942574,6,1.54,7.52,9.06,789506,64.8,0.0337,"Tahap 2 RM-b, lr=1e-3 epochs=10 -- lr sangat tinggi + anggaran 2x -- cek stabilitas training (loss meledak/NaN?).",True,2026-09-14 17:37:47,0.0931,True
20,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,20,0.001,0.1,0.01,32,42,0.96498,0.979315,0.971606,0.958668,0.942574,6,3.06,7.52,10.58,789506,64.8,0.0335,"Tahap 2 RM-b, lr=1e-3 epochs=20 -- lr sangat tinggi + anggaran besar -- kombinasi paling berisiko overfit/divergen.",True,2026-09-14 17:37:50,0.0,True
21,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-base-p2,mlp,1024,30,0.001,0.1,0.01,32,42,0.96498,0.979315,0.971606,0.958668,0.942574,6,4.6,7.52,12.12,789506,64.8,0.0337,"Tahap 2 RM-b, lr=1e-3 epochs=30 -- lr sangat tinggi + anggaran maksimum -- sudut grid paling ekstrem, batas atas eksplorasi.",True,2026-09-14 17:37:55,0.0,True
