run_id,scenario,batch_id,model_name,alpha,k,weighting,head_arch_rmb,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,index_vectors,eval_time_s,trainable_params,train_time_s,catatan,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best
1,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.0,1,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.07,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=1 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-14 17:38:08,,
2,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.0,3,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.05,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=3 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-14 17:38:08,0.0,True
3,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.0,5,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.1,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=5 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-14 17:38:09,0.0,True
4,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.0,10,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.05,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=10 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-14 17:38:09,0.0,True
5,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.0,20,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.17,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=20 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-14 17:38:09,0.0,True
6,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.0,50,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.05,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=50 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-14 17:38:09,0.0,True
7,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.1,1,similarity,mlp,0.965301,0.979315,0.967441,0.963195,0.943249,6588,0.19,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-14 17:38:10,0.0,True
8,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.1,3,similarity,mlp,0.962794,0.977889,0.96638,0.959304,0.939096,6588,0.11,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-14 17:38:10,-0.2507,False
9,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.1,5,similarity,mlp,0.965195,0.979315,0.968799,0.961686,0.943026,6588,0.25,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-14 17:38:10,-0.0106,True
10,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.1,10,similarity,mlp,0.965195,0.979315,0.968799,0.961686,0.943026,6588,0.09,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-14 17:38:10,-0.0106,True
11,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.1,20,similarity,mlp,0.965195,0.979315,0.968799,0.961686,0.943026,6588,0.1,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-14 17:38:11,-0.0106,True
12,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.1,50,similarity,mlp,0.963939,0.978602,0.968276,0.95974,0.940945,6588,0.18,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-14 17:38:11,-0.1362,True
13,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.2,1,similarity,mlp,0.969995,0.982168,0.973637,0.96645,0.950884,6588,0.18,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-14 17:38:11,0.4694,False
14,rmc,rmc_tuning_grid,indobenchmark/indobert-base-p2,0.2,3,similarity,mlp,0.968651,0.981455,0.974556,0.962996,0.948617,6588,0.1,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.2 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-14 17:38:11,-0.1344,True
