run_id,scenario,batch_id,model_name,head_arch,hidden_dim,epochs,lr,dropout,weight_decay,batch,seed,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,best_epoch,head_train_time_s,extract_time_s,train_time_s,trainable_params,peak_mem_mb,infer_latency_ms,catatan,overfit_signal,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best
1,rmb,rmb_tuning_grid,indobenchmark/indobert-lite-base-p2,linear,256,5,0.0002,0.1,0.01,32,42,0.894969,0.933666,0.87682,0.917141,0.831216,5,4.19,44.85,49.04,1538,40.6,0.1207,"Tahap 1 RM-b, baseline kanonik RMB_DEFAULT (head_arch=linear) -- kontrol wajib re-tuning dari nol, titik acuan seluruh grid.",False,2026-09-08 01:07:55,,
2,rmb,rmb_tuning_grid,indobenchmark/indobert-lite-base-p2,mlp,128,5,0.0002,0.1,0.01,32,42,0.927446,0.955064,0.914302,0.942312,0.882682,4,5.52,44.85,50.37,98690,43.4,0.4234,"Tahap 1 RM-b, head_arch=mlp hidden_dim=128 -- kapasitas kecil, cukupkah sedikit non-linearitas tanpa menambah param berarti?",True,2026-09-08 01:08:02,3.2477,False
3,rmb,rmb_tuning_grid,indobenchmark/indobert-lite-base-p2,mlp,256,5,0.0002,0.1,0.01,32,42,0.920202,0.951498,0.914191,0.926549,0.870229,1,5.33,44.85,50.18,197378,46.6,0.2339,"Tahap 1 RM-b, head_arch=mlp hidden_dim=256 -- kapasitas default RMB_DEFAULT, juga yang dipakai RM-c nanti bila MLP menang.",True,2026-09-08 01:08:08,-0.7244,False
4,rmb,rmb_tuning_grid,indobenchmark/indobert-lite-base-p2,mlp,512,5,0.0002,0.1,0.01,32,42,0.93639,0.962197,0.939772,0.933099,0.895874,5,5.18,44.85,50.03,394754,52.3,0.4309,"Tahap 1 RM-b, head_arch=mlp hidden_dim=512 -- kapasitas besar, mendekati batas wajar sebelum jumlah param tumbuh signifikan.",False,2026-09-08 01:08:14,0.8944,False
5,rmb,rmb_tuning_grid_stage1b,indobenchmark/indobert-lite-base-p2,mlp,768,5,0.0002,0.1,0.01,32,42,0.939135,0.962197,0.924601,0.955732,0.90167,5,5.6,44.85,50.45,592130,57.7,0.3085,"Perluasan Tahap 1 RM-b -- hidden_dim=512 menang di tepi rentang yang diuji (128/256/512) dan kenaikan 256->512 (+0,87pp) lebih besar dari 128->256 (+0,32pp), belum melandai. Uji apakah tren masih naik di kapasitas lebih besar sebelum mengunci hidden_dim untuk Tahap 2.",False,2026-09-08 01:08:21,0.2745,False
6,rmb,rmb_tuning_grid_stage1b,indobenchmark/indobert-lite-base-p2,mlp,1024,5,0.0002,0.1,0.01,32,42,0.944537,0.96719,0.950139,0.939174,0.909091,5,5.01,44.85,49.86,789506,63.5,0.2253,"Perluasan Tahap 1 RM-b -- probe kapasitas lebih besar lagi dari 768, mencari titik di mana tren kenaikan val_f1_macro mulai melandai/overfit sebelum mengunci hidden_dim untuk Tahap 2.",False,2026-09-08 01:08:27,0.5402,False
7,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,5,0.0001,0.1,0.01,32,42,0.935552,0.96077,0.928733,0.942788,0.895238,5,5.13,44.85,49.98,789506,63.5,0.2816,"Tahap 2 RM-b (hidden_dim*=1024 dari Tahap 1), lr=1e-4 epochs=5 -- lr konservatif (setengah default), anggaran standar -- cek underfit.",False,2026-09-08 01:08:34,-0.8985,False
8,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.0001,0.1,0.01,32,42,0.945087,0.966476,0.936936,0.953826,0.910816,9,11.31,44.85,56.16,789506,63.5,0.3257,"Tahap 2 RM-b, lr=1e-4 epochs=10 -- lr konservatif + anggaran 2x -- beri waktu ekstra untuk konvergen.",True,2026-09-08 01:08:46,0.055,True
9,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,20,0.0001,0.1,0.01,32,42,0.961999,0.977175,0.96062,0.963394,0.937984,17,20.53,44.85,65.38,789506,63.5,0.2054,"Tahap 2 RM-b, lr=1e-4 epochs=20 -- lr konservatif + anggaran besar -- batas atas kompensasi lr kecil.",True,2026-09-08 01:09:08,1.6912,False
10,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,30,0.0001,0.1,0.01,32,42,0.968843,0.981455,0.971733,0.966014,0.94902,22,31.04,44.85,75.89,789506,63.5,0.308,"Tahap 2 RM-b, lr=1e-4 epochs=30 -- lr konservatif + anggaran maksimum -- masih naik atau sudah plateau di 20?",True,2026-09-08 01:09:40,0.6844,False
11,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,10,0.0002,0.1,0.01,32,42,0.954469,0.973609,0.970615,0.940086,0.924949,9,10.16,44.85,55.01,789506,63.5,0.4504,"Tahap 2 RM-b, lr=2e-4 (default) epochs=10 -- anggaran 2x dari Tahap 1 run #10 (epochs=5, val_f1_macro=0,954323) -- apakah val F1 masih naik setelah epoch 5?",True,2026-09-08 01:09:51,-1.4374,False
12,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,20,0.0002,0.1,0.01,32,42,0.958879,0.975749,0.966185,0.951958,0.93254,17,19.46,44.85,64.31,789506,63.5,0.2181,"Tahap 2 RM-b, lr=2e-4 (default) epochs=20 -- anggaran besar -- titik potensial mulai overfit pada head 1024 (sudah muncul sinyal overfit di epochs=5 saat Tahap 1).",True,2026-09-08 01:10:11,-0.9964,False
13,rmb,rmb_tuning_grid_stage2,indobenchmark/indobert-lite-base-p2,mlp,1024,30,0.0002,0.1,0.01,32,42,0.964871,0.979315,0.973057,0.957159,0.942346,22,29.98,44.85,74.83,789506,63.5,0.2202,"Tahap 2 RM-b, lr=2e-4 (default) epochs=30 -- anggaran maksimum pada lr kanonik -- batas atas eksplorasi epoch.",True,2026-09-08 01:10:41,-0.3972,False
