run_id,scenario,batch_id,model_name,alpha,k,weighting,head_arch_rmb,val_f1_macro,val_acc,val_precision_macro,val_recall_macro,val_f1_judi,index_vectors,eval_time_s,trainable_params,train_time_s,catatan,timestamp,delta_vs_best_f1_macro_pp,is_tie_with_best
1,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.0,1,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.1,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=1 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-08 01:19:59,,
2,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.0,3,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.13,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=3 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-08 01:19:59,0.0,True
3,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.0,5,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.11,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=5 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-08 01:19:59,0.0,True
4,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.0,10,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.13,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=10 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-08 01:19:59,0.0,True
5,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.0,20,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.16,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=20 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-08 01:20:00,0.0,True
6,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.0,50,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.12,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0,0 k=50 -- baseline murni head RM-b (retrieval diabaikan sepenuhnya) -- pembanding wajib: apakah RAC memperbaiki RM-b sama sekali?",2026-09-08 01:20:00,0.0,True
7,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.1,1,similarity,mlp,0.967694,0.980742,0.969845,0.965577,0.947162,6588,0.09,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=1 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-08 01:20:00,-0.1149,True
8,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.1,3,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.09,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=3 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-08 01:20:00,0.0,True
9,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.1,5,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.1,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=5 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-08 01:20:01,0.0,True
10,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.1,10,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.14,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=10 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-08 01:20:01,0.0,True
11,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.1,20,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.14,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=20 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-08 01:20:01,0.0,True
12,rmc,rmc_tuning_grid,indobenchmark/indobert-lite-base-p2,0.1,50,similarity,mlp,0.968843,0.981455,0.971733,0.966014,0.94902,6588,0.11,0,0.0,"Grid RM-c (weighting=similarity dikunci, head RM-b run#28), alpha=0.1 k=50 -- memetakan bobot fusi optimal x jumlah tetangga tanpa training tambahan.",2026-09-08 01:20:02,0.0,True
