epoch,train_loss,val_f1_macro,val_acc,val_f1_judi,val_precision_judi,val_recall_judi
1,0.22363,0.941010442400215,0.9650499286733238,0.903353057199211,0.916,0.8910505836575876
2,0.146553,0.9441024401209669,0.9664764621968617,0.9087378640776699,0.9069767441860465,0.9105058365758755
3,0.10898,0.9479051605035858,0.9686162624821684,0.915057915057915,0.9080459770114943,0.9221789883268483
4,0.093246,0.9557284443507552,0.9736091298145506,0.9275929549902152,0.9330708661417323,0.9221789883268483
5,0.074831,0.9555932217899166,0.9736091298145506,0.9273084479371316,0.9365079365079365,0.9182879377431906
6,0.049375,0.9653006725992406,0.9793152639087018,0.9432485322896281,0.9488188976377953,0.9377431906614786
7,0.027536,0.9519572076307486,0.9707560627674751,0.9219047619047619,0.9029850746268657,0.9416342412451362
8,0.020654,0.955342733372972,0.9743223965763196,0.9262295081967213,0.9783549783549783,0.8793774319066148
9,0.023247,0.9546141361645909,0.9736091298145506,0.9252525252525252,0.9621848739495799,0.8910505836575876
10,0.016658,0.9556671726047824,0.9728958630527818,0.928030303030303,0.9040590405904059,0.953307392996109
