head_arch,hidden_dim,epochs,lr,dropout,weight_decay,batch,catatan
mlp,1024,5,0.0001,0.1,0.01,32,"Tahap 2 RM-b (hidden_dim*=1024 dari Tahap 1), lr=1e-4 epochs=5 -- lr konservatif (setengah default), anggaran standar -- cek underfit."
mlp,1024,10,0.0001,0.1,0.01,32,"Tahap 2 RM-b, lr=1e-4 epochs=10 -- lr konservatif + anggaran 2x -- beri waktu ekstra untuk konvergen."
mlp,1024,20,0.0001,0.1,0.01,32,"Tahap 2 RM-b, lr=1e-4 epochs=20 -- lr konservatif + anggaran besar -- batas atas kompensasi lr kecil."
mlp,1024,30,0.0001,0.1,0.01,32,"Tahap 2 RM-b, lr=1e-4 epochs=30 -- lr konservatif + anggaran maksimum -- masih naik atau sudah plateau di 20?"
mlp,1024,10,0.0002,0.1,0.01,32,"Tahap 2 RM-b, lr=2e-4 (default) epochs=10 -- anggaran 2x dari Tahap 1 run #10 (epochs=5, val_f1_macro=0,954323) -- apakah val F1 masih naik setelah epoch 5?"
mlp,1024,20,0.0002,0.1,0.01,32,"Tahap 2 RM-b, lr=2e-4 (default) epochs=20 -- anggaran besar -- titik potensial mulai overfit pada head 1024 (sudah muncul sinyal overfit di epochs=5 saat Tahap 1)."
mlp,1024,30,0.0002,0.1,0.01,32,"Tahap 2 RM-b, lr=2e-4 (default) epochs=30 -- anggaran maksimum pada lr kanonik -- batas atas eksplorasi epoch."
mlp,1024,5,0.0005,0.1,0.01,32,"Tahap 2 RM-b, lr=5e-4 epochs=5 -- lr agresif (2,5x default), anggaran standar -- konvergensi lebih cepat tanpa rugi F1?"
mlp,1024,10,0.0005,0.1,0.01,32,"Tahap 2 RM-b, lr=5e-4 epochs=10 -- lr agresif + anggaran 2x -- rawan overshoot/osilasi loss, cek kestabilan."
mlp,1024,20,0.0005,0.1,0.01,32,"Tahap 2 RM-b, lr=5e-4 epochs=20 -- lr agresif + anggaran besar -- risiko overfit head paling tinggi di grid (head 1024 sudah rentan sejak Tahap 1)."
mlp,1024,30,0.0005,0.1,0.01,32,"Tahap 2 RM-b, lr=5e-4 epochs=30 -- lr agresif + anggaran maksimum -- sudut grid paling agresif pada lr sedang."
mlp,1024,5,0.001,0.1,0.01,32,"Tahap 2 RM-b, lr=1e-3 epochs=5 -- lr sangat tinggi (5x default), anggaran minim -- skenario 'cepat & panas', hemat waktu bila berhasil."
mlp,1024,10,0.001,0.1,0.01,32,"Tahap 2 RM-b, lr=1e-3 epochs=10 -- lr sangat tinggi + anggaran 2x -- cek stabilitas training (loss meledak/NaN?)."
mlp,1024,20,0.001,0.1,0.01,32,"Tahap 2 RM-b, lr=1e-3 epochs=20 -- lr sangat tinggi + anggaran besar -- kombinasi paling berisiko overfit/divergen."
mlp,1024,30,0.001,0.1,0.01,32,"Tahap 2 RM-b, lr=1e-3 epochs=30 -- lr sangat tinggi + anggaran maksimum -- sudut grid paling ekstrem, batas atas eksplorasi."
